"extension","force_f","retraction","force_r","rownum"
85.5242154421956,-9.95466685333304,83.5103530317073,3414.66833914667,2428
85.4692538236238,-3.86825385333395,83.4560417511907,3404.52431014667,2415
85.4592413090873,-1.83944985333437,83.4485262451093,3386.26505814667,2413
85.4267382397635,-3.86825385333395,83.4175948489257,3372.06341814667,2407
85.4279440026207,-7.92586285333346,83.4217582878941,3351.77536014667,2409
85.4740998639732,-1.83944985333437,83.4727174955278,3323.37208014667,2420
85.4640433494364,-3.86825385333395,83.4651549894459,3305.11282814667,2418
85.5101772107887,-5.89705785333354,83.5160901970797,3276.70954814667,2431
85.522579245499,-9.95466685333304,83.5319085753302,3254.39268514667,2433
85.5349702802101,-14.0122758533344,83.5477149535811,3232.07582214667,2435
85.5473503093807,-20.0986898533338,83.5635093260638,3209.75896014667,2436
85.5484790666969,-18.0698848533339,83.5675897592644,3189.47090314667,2438
85.5608361014083,-22.1274938533334,83.5833611375144,3167.15404014667,2439
85.5394613039374,-22.1274938533334,83.5640146806137,3150.92359514667,2437
85.5068352290734,-26.1851028533347,83.5329542786631,3136.72195614667,2434
85.4854384371426,-28.2139078533346,83.5135838275303,3120.49151014667,2430
85.4527903622784,-28.2139078533346,83.4824994255798,3106.28987114667,2424
85.397650738167,-28.2139078533346,83.4280001392954,3096.14584314667,2410
85.3424991195954,-28.2139078533346,83.3734878587799,3086.00181414667,2402
85.2873364954834,-26.1851028533347,83.3189645724955,3075.85778614667,2397
85.2658836980133,-28.2139078533346,83.2995351155958,3059.62734114667,2395
85.2331796231484,-24.1562988533333,83.2683917136444,3045.42570214667,2390
85.2117038256777,-26.1851028533347,83.2489382567439,3029.19525714667,2384
85.2014573056008,-20.0986898533338,83.2411757448937,3010.93600614667,2380
85.2024400573782,-20.0986898533338,83.2451021723261,2990.64795014667,2382
85.2258913584015,-11.983471853333,83.2724214840913,2966.30228314667,2391
85.2268511101784,-9.95466685333304,83.2763239115238,2946.01422714667,2392
85.2502804056621,-14.0122758533344,83.3036192175212,2921.66856114667,2396
85.2624584348326,-7.92586285333346,83.3191995900041,2899.35169914667,2398
85.2971050077096,-3.86825385333395,83.3581728410519,2872.97722714667,2400
85.3205003031936,-3.86825385333395,83.385432147049,2848.63156114667,2403
85.3214030549703,-3.86825385333395,83.3892755744815,2828.34350514667,2404
85.33353507306,-3.86825385333395,83.4048079354278,2806.02664514667,2405
85.3456560966899,0.189355146665548,83.4203293021429,2783.70978414667,2408
85.3577651203204,-5.89705785333354,83.4358386688575,2761.39292314667,2411
85.3811034158033,-7.92586285333346,83.4630379748552,2737.04725714667,2417
85.3707098846459,-1.83944985333437,83.4551184514696,2718.78800814667,2414
85.3827849027355,-1.83944985333437,83.470591812416,2696.47114814667,2419
85.383607648972,0.189355146665548,83.4743512340804,2676.18309314667,2422
85.3844203952088,-1.83944985333437,83.4780976557449,2655.89503814667,2423
85.3964604132983,-3.86825385333395,83.4935350166919,2633.57817814667,2426
85.3747686047466,0.189355146665548,83.4738535482556,2617.34773514667,2421
85.4092671720841,0.189355146665548,83.5126697935352,2590.97326414667,2429
